periodo;fase;area;atividade;intensidade;impacto;observação
set/25;ruptura;trabalho;vendas;5;negativo;estava num emprego que me drenava, mas precisava dele financeiramente. 
set/25;reconstrucao;emocional;rotina;5;negativo;aqui eu precisava seguir em frente mesmo sem um norte, estava insegura e com medo.
set/25;integracao;emocional;viagem;5;positivo;fui visitar minha familia, precisa de  um porto seguro para me amparar.
set/25;transicao;trabalho;concurso;3;positivo;tentei um concurso simples, me ajudou  a ter fe e esperanca novamente, não passei, mas gostei de ter tentado. Foi importante naquele momento.
set/25;integracao;saude;treino;5;positivo;voltei a correr e foquei mais na academia nesse periodo, usei o treino para organizar a mente e aprender a soltar o controle.
set/25;construcao;saude;dieta;4;positivo;tive um hiperfoco em alimentacao, quis fazer dieta pela primeira vez, e consegui. Foquei no corpo para esquecer a mente.
out/25;renascimento;emocional;viagem;5;positivo;fiz minha primeira viagem solo e isso me abriu a mente pra ifinitas possibilidades.
out/25;ajuste;geral;rotina;4;positivo;aqui comecei a organizar minha vida com mais clareza e presenca.
nov/25;alocacao;trabalho;vendas;3;positivo;voltei a trabalhar com a mente mais leve.
dez/25;fechamento;vida;viagem;5;positivo;realizei o sonho da virada do ano no Rio, e pra mim foi um encerramento de ciclo perfeito e inicio de um novo cheio de sentido e motivacao. 
